tmk,building_value,land_value,total_value,land_class,n
11002026,0,1349400,1349400,RESIDENTIAL A,1
11002031,0,953200,953200,RESIDENTIAL,1
11002046,1000000,685100,1685100,RESIDENTIAL,1
11002047,11500,636800,648300,RESIDENTIAL,1
11002051,700000,701900,1401900,RESIDENTIAL,1
11003252,2316100,13427800,15743900,RESIDENTIAL,1
11010003,16048800,40312200,56361000,RESIDENTIAL,1
11010011,18818300,13648200,32466500,RESIDENTIAL,1
11010012,118149400,95971400,214120800,RESIDENTIAL,1
11010017,113974100,69432400,183406500,RESIDENTIAL,1
11010036,8100,702700,710800,RESIDENTIAL,1
11010049,88400,759300,847700,RESIDENTIAL,1
11010050,116200,541700,657900,RESIDENTIAL,1
11010051,9438100,12757500,22195600,RESIDENTIAL,1
11010052,101240300,72993900,174234200,RESIDENTIAL,1
11010053,178704100,97437100,276141200,RESIDENTIAL,1
11010054,0,21528700,21528700,RESIDENTIAL,1
11010055,0,4718100,4718100,RESIDENTIAL,1
11010064,40933800,29886000,70819800,RESIDENTIAL,1
11010068,23901600,8102200,32003800,RESIDENTIAL,1
11012012,2600000,19063100,21663100,RESIDENTIAL,1
11012027,112750100,108324000,221074100,RESIDENTIAL,1
11012037,25230500,4679800,29910300,RESIDENTIAL,1
11012038,0,116400,116400,RESIDENTIAL,1
11017006,94700,862500,957200,RESIDENTIAL,1
11017007,128200,862500,990700,RESIDENTIAL,1
11017008,131300,853900,985200,RESIDENTIAL,1
11017009,139300,845300,984600,RESIDENTIAL,1
11017010,209800,853900,1063700,RESIDENTIAL,1
11017011,242100,862500,1104600,RESIDENTIAL,1
11017012,127500,862500,990000,RESIDENTIAL,1
11017013,59500,862500,922000,RESIDENTIAL,1
11017014,352900,853900,1206800,RESIDENTIAL,1
11017015,260400,845300,1105700,RESIDENTIAL,1
11017016,255700,853900,1109600,RESIDENTIAL,2
11017016,255700,853900,1109600,RESIDENTIAL,2
11017017,71700,717800,789500,RESIDENTIAL,1
11017018,260100,725200,985300,RESIDENTIAL,1
11017019,120300,732600,852900,RESIDENTIAL,1
11017020,108000,732600,840600,RESIDENTIAL,1
11017021,65100,732600,797700,RESIDENTIAL,1
11017022,46100,732600,778700,RESIDENTIAL,1
11017023,103400,732600,836000,RESIDENTIAL,1
11017024,584800,732600,1317400,RESIDENTIAL A,1
11017025,306100,732600,1038700,RESIDENTIAL,1
11017026,123700,799200,922900,RESIDENTIAL,1
11017027,334000,725200,1059200,RESIDENTIAL,2
11017027,334000,725200,1059200,RESIDENTIAL,2
11017028,324300,725200,1049500,RESIDENTIAL,1
11017029,211000,725200,936200,RESIDENTIAL,1
11017030,14800,732600,747400,RESIDENTIAL,1
11017031,24300,732600,756900,RESIDENTIAL,1
11017032,457200,732600,1189800,RESIDENTIAL,1
11017033,376600,806600,1183200,RESIDENTIAL,1
11017034,709700,806600,1516300,RESIDENTIAL,1
11017035,528600,732600,1261200,RESIDENTIAL,1
11017036,225800,732600,958400,RESIDENTIAL,1
11017037,67200,732600,799800,RESIDENTIAL,1
11017038,50200,734700,784900,RESIDENTIAL,1
11017039,355800,695700,1051500,RESIDENTIAL,1
11017040,114000,725400,839400,RESIDENTIAL,1
11017041,660000,725400,1385400,RESIDENTIAL,1
11017042,267700,695700,963400,RESIDENTIAL,1
11017043,532800,742200,1275000,RESIDENTIAL,1
11017044,136500,740000,876500,RESIDENTIAL,2
11017044,136500,740000,876500,RESIDENTIAL,2
11017045,758100,740000,1498100,RESIDENTIAL,1
11017046,376500,740000,1116500,RESIDENTIAL,2
11017046,376500,740000,1116500,RESIDENTIAL,2
11017047,505600,740000,1245600,RESIDENTIAL,1
11017048,107100,740000,847100,RESIDENTIAL,1
11017049,396500,740000,1136500,RESIDENTIAL,1
11017050,509100,740000,1249100,RESIDENTIAL,1
11017051,504300,740000,1244300,RESIDENTIAL A,1
11017052,407500,814000,1221500,RESIDENTIAL,1
11017053,565400,740000,1305400,RESIDENTIAL,1
11017054,333100,740000,1073100,RESIDENTIAL,1
11017055,471800,732600,1204400,RESIDENTIAL,1
11017056,391700,732600,1124300,RESIDENTIAL,1
11017057,326400,740000,1066400,RESIDENTIAL A,1
11017058,39700,740000,779700,RESIDENTIAL,1
11017059,195300,740000,935300,RESIDENTIAL,1
11017060,482100,851000,1333100,RESIDENTIAL,1
11017061,140300,740000,880300,RESIDENTIAL,1
11017062,267300,740000,1007300,RESIDENTIAL,1
11017063,686700,740000,1426700,RESIDENTIAL,1
11017064,681700,740000,1421700,RESIDENTIAL,1
11017065,476200,732600,1208800,RESIDENTIAL A,1
11017066,42100,732600,774700,RESIDENTIAL,1
11017067,387800,732600,1120400,RESIDENTIAL A,1
