tmk,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,year_tce
12014084,0,0,2148.20105,194.2023802,3503.868936,3501.543162,3521.848527,3521.06332,3515.919244,0.188710013,0.084599602,0,0,471.754515358,0,0,0,0,20.2297619825,24.8172267722,40.8507141891,50.2653290882,153400,1240200,1393600,RESIDENTIAL,1,NA
23010001,21.29761005,-157.8454217,1361.883415,148.4512903,988.8361412,982.3849837,976.5538556,967.156832,955.5226593,794.9857046,794.5311827,693.1531424,0,403.004883284,0,0,0,0,0,0,0,16.9853521344,139500,1223200,1362700,RESIDENTIAL,1,NA
23010002,21.29748116,-157.845477,1230.111313,149.2307259,972.6534268,966.1470399,960.2550286,950.8452256,939.1618774,778.7726509,778.3147779,676.8261651,0,440.040327419,0,0,0,0,0,0,0,51.8020279706,119100,1282000,1401100,RESIDENTIAL,1,NA
23010003,21.29733859,-157.8455274,1259.592293,174.0084464,956.9646793,950.441666,944.5353137,935.1207236,923.4269195,763.1035338,762.6438947,661.1012296,0,444.876389618,0,0,0,0,0,0,0,32.3013887484,227400,1282000,1509400,RESIDENTIAL,1,NA
23010012,21.29754836,-157.8457414,1424.699753,153.7486358,975.5939661,968.8630874,962.8171628,953.2085062,941.380465,778.7385509,778.300998,679.4237638,0,517.613543353,0,0,0,0,0,0,0,2.90762038123,399700,1481500,1881200,RESIDENTIAL,1,NA
23010013,21.29766494,-157.8455233,1486.215164,156.9580455,990.4040066,983.8538898,977.9193993,968.4851398,956.7505701,794.7082453,794.2669414,694.4724001,0,504.307727713,0,0,0,0,0,0,0,323.451989151,111800,1466700,1578500,RESIDENTIAL,1,NA
23022028,21.29121749,-157.8371287,1779.039482,189.1987884,996.1972528,1005.444634,1011.669385,1008.497791,1001.043924,173.6479547,173.0054027,173.0054027,0,296.907246042,0,0,0,0,0,0,0,171.076157652,144600,1097100,1241700,RESIDENTIAL A,1,NA
23022029,21.29130142,-157.8371628,1705.196167,185.5792502,998.7217417,1008.285032,1014.549466,1011.483455,1004.130098,170.2953348,169.7022471,169.7022471,0,338.523643887,0,0,0,0,0,0,0,65.419871423,129800,1020100,1149900,RESIDENTIAL A,1,NA
23022031,21.29108043,-157.8369931,1671.16909,189.0091692,1018.107098,1025.408092,1028.23775,1023.606338,1016.275763,171.7860072,171.7860072,171.2073458,0,223.080051133,0,0,0,0,0,0,0,8.02985773767,117100,955200,1072300,RESIDENTIAL A,1,NA
23023003,21.29279009,-157.8363057,7746.002075,403.3690221,1153.651325,1174.005827,1181.137752,1180.027735,1173.952118,0,0,0,0,843.834511612,0,0,0,0,3.99176496196,15.863584706,58.0164304198,151.098665356,7244400,2382100,9626500,RESIDENTIAL,1,NA
