"","geoid","tract","block","total_hh","multi","single","owner","renter","avg_hh","less_10000","10000_14999","15000_19999","20000_24999","25000_29999","30000_34999","35000_39999","40000_44999","45000_49999","50000_59999","60000_74999","75000_99999","100000_124999","125000_149999","150000_199999","200000_inf"
"1",150030001071,1.07,1,518,465,53,439,79,4,16,15,0,5,10,0,0,18,0,7,29,34,50,72,113,149
"2",150030001072,1.07,2,425,378,47,370,55,3,9,0,0,5,0,0,6,12,0,0,23,5,32,64,90,179
"3",150030001081,1.08,1,457,374,83,374,83,2,16,0,0,0,5,0,10,9,0,23,47,89,0,23,65,170
"4",150030001082,1.08,2,355,296,59,226,129,3,75,9,0,0,0,0,0,0,0,41,33,9,19,9,57,103
"5",150030001083,1.08,3,461,414,47,342,119,3,10,0,12,0,0,0,5,0,18,4,2,32,31,26,245,76
"6",150030001101,1.1,1,456,395,61,417,39,3,0,0,0,0,0,10,26,0,0,19,25,82,71,30,53,140
"7",150030001102,1.1,2,270,253,17,225,45,3,0,2,0,0,0,9,0,0,0,0,11,27,41,55,19,106
"8",150030001103,1.1,3,533,441,92,439,94,3,0,0,26,0,31,0,7,9,9,30,10,26,80,68,56,181
"9",150030001104,1.1,4,197,156,41,180,17,3,0,0,10,0,0,0,0,0,7,9,0,16,26,23,56,50
"10",150030001141,1.14,1,168,136,32,133,35,2,4,0,7,0,0,9,0,0,0,0,6,37,8,12,12,73
"11",150030001142,1.14,2,352,272,80,279,73,3,4,0,0,0,11,25,0,0,0,0,3,4,19,20,40,226
"12",150030001151,1.15,1,579,400,179,319,260,2,13,0,0,8,0,17,12,0,17,14,63,77,120,22,153,63
"13",150030001152,1.15,2,232,188,44,232,0,3,0,0,0,0,12,0,0,11,9,0,0,36,10,0,23,131
"14",150030001153,1.15,3,97,80,17,97,0,3,0,0,0,0,0,0,0,0,0,9,0,0,17,0,11,60
"15",150030001161,1.16,1,1121,739,382,854,267,2,13,0,46,37,42,59,7,19,14,48,84,155,70,170,165,192
"16",150030001171,1.17,1,608,457,151,388,220,3,9,20,0,36,20,0,10,0,30,0,54,13,79,40,140,157
"17",150030001181,1.18,1,679,614,65,607,72,3,0,0,20,13,0,0,0,0,0,25,37,62,167,52,129,174
