GEOID,block_group,tract,Owner occupied,Renter occupied
150030001071,1,1.07,3.42,4.13
150030001072,2,1.07,2.8,2.58
150030001081,1,1.08,2.36,2.6
150030001082,2,1.08,2.63,3.38
150030001083,3,1.08,2.14,4.27
150030001101,1,1.10,2.66,4.36
150030001102,2,1.10,3.2,2.82
150030001103,3,1.10,3.23,3.01
150030001104,4,1.10,2.46,3.06
150030001141,1,1.14,2.61,1.74
150030001142,2,1.14,2.66,3.62
150030001151,1,1.15,2.69,1.58
150030001152,2,1.15,2.94,NA
150030001153,3,1.15,3,NA
150030001161,1,1.16,2.01,2.33
150030001171,1,1.17,2.51,2.6
150030001181,1,1.18,2.73,2.07
150030001191,1,1.19,3.7,2.74
150030001192,2,1.19,3.43,4.94
150030001193,3,1.19,2.86,3.22
150030001201,1,1.20,2.37,3.44
150030001202,2,1.20,3.76,3.56
150030001203,3,1.20,2.67,3.12
150030001211,1,1.21,2.33,2.46
150030001212,2,1.21,2.4,3.85
150030001221,1,1.22,2.98,3.45
150030001222,2,1.22,2.83,3.18
150030001223,3,1.22,3.25,NA
150030002001,1,2,3.53,2.34
150030002002,2,2,4.04,3.46
150030002003,3,2,3.26,1.08
150030002004,4,2,2.85,5.4
150030002005,5,2,2.79,2.81
150030002006,6,2,2.92,1.3
150030003011,1,3.01,2.63,3.05
150030003012,2,3.01,2.68,2.81
150030003021,1,3.02,2.68,2.45
150030003022,2,3.02,3.05,2.95
150030004011,1,4.01,3.11,3.07
150030004012,2,4.01,2.95,1.56
150030004021,1,4.02,2.6,3.52
150030004022,2,4.02,2.97,2.97
150030004023,3,4.02,3.51,2.3
150030005001,1,5,3.14,4.21
150030005002,2,5,3.29,2.44
150030005003,3,5,2.37,1.36
150030005004,4,5,2.68,1.51
150030005005,5,5,2.48,3.44
150030006001,1,6,NA,NA
150030006002,2,6,2.51,3.59
150030007001,1,7,3.11,2.43
150030007002,2,7,2.66,1.29
150030007003,3,7,2.29,4.04
150030007004,4,7,3.52,4.31
150030008001,1,8,3.15,1.7
150030008002,2,8,2.55,3.04
150030008003,3,8,3.58,2.42
150030009011,1,9.01,2.4,3.42
150030009012,2,9.01,2.18,2.5
150030009031,1,9.03,2.84,1.9
150030009032,2,9.03,3,2.89
150030009041,1,9.04,3.91,2.46
150030009051,1,9.05,2.8,1.89
