GEOID,NAME,total_hh,total_hh_moe,multi_person_est,multi_person_moe,multi_person_share,living_alone_est,living_alone_moe,living_alone_share,block_group,tract
150030001071,Block Group 1; Census Tract 1.07; Honolulu County; Hawaii,518,58,465,63,0.8977,53,32,0.1023,1,1.07
150030001072,Block Group 2; Census Tract 1.07; Honolulu County; Hawaii,425,75,378,68.6,0.8894,47,42,0.1106,2,1.07
150030001081,Block Group 1; Census Tract 1.08; Honolulu County; Hawaii,457,95,374,89.3,0.8184,83,48,0.1816,1,1.08
150030001082,Block Group 2; Census Tract 1.08; Honolulu County; Hawaii,355,93,296,92.1,0.8338,59,42,0.1662,2,1.08
150030001083,Block Group 3; Census Tract 1.08; Honolulu County; Hawaii,461,193,414,191.7,0.898,47,34,0.102,3,1.08
150030001101,Block Group 1; Census Tract 1.10; Honolulu County; Hawaii,456,125,395,119.1,0.8662,61,52,0.1338,1,1.10
150030001102,Block Group 2; Census Tract 1.10; Honolulu County; Hawaii,270,79,253,81.1,0.937,17,17,0.063,2,1.10
150030001103,Block Group 3; Census Tract 1.10; Honolulu County; Hawaii,533,117,441,115.1,0.8274,92,52,0.1726,3,1.10
150030001104,Block Group 4; Census Tract 1.10; Honolulu County; Hawaii,197,53,156,53.5,0.7919,41,43,0.2081,4,1.10
150030001141,Block Group 1; Census Tract 1.14; Honolulu County; Hawaii,168,43,136,42.1,0.8095,32,22,0.1905,1,1.14
150030001142,Block Group 2; Census Tract 1.14; Honolulu County; Hawaii,352,79,272,70.1,0.7727,80,37,0.2273,2,1.14
150030001151,Block Group 1; Census Tract 1.15; Honolulu County; Hawaii,579,191,400,170,0.6908,179,89,0.3092,1,1.15
150030001152,Block Group 2; Census Tract 1.15; Honolulu County; Hawaii,232,65,188,66.1,0.8103,44,36,0.1897,2,1.15
150030001153,Block Group 3; Census Tract 1.15; Honolulu County; Hawaii,97,45,80,37.2,0.8247,17,27,0.1753,3,1.15
150030001161,Block Group 1; Census Tract 1.16; Honolulu County; Hawaii,1121,154,739,138,0.6592,382,130,0.3408,1,1.16
150030001171,Block Group 1; Census Tract 1.17; Honolulu County; Hawaii,608,120,457,106.9,0.7516,151,74,0.2484,1,1.17
150030001181,Block Group 1; Census Tract 1.18; Honolulu County; Hawaii,679,100,614,114.1,0.9043,65,39,0.0957,1,1.18
150030001191,Block Group 1; Census Tract 1.19; Honolulu County; Hawaii,322,63,284,65.1,0.882,38,26,0.118,1,1.19
150030001192,Block Group 2; Census Tract 1.19; Honolulu County; Hawaii,345,179,316,179,0.9159,29,23,0.0841,2,1.19
150030001193,Block Group 3; Census Tract 1.19; Honolulu County; Hawaii,156,39,148,40.1,0.9487,8,12,0.0513,3,1.19
150030001201,Block Group 1; Census Tract 1.20; Honolulu County; Hawaii,271,66,240,67.1,0.8856,31,37,0.1144,1,1.20
150030001202,Block Group 2; Census Tract 1.20; Honolulu County; Hawaii,201,44,193,43.1,0.9602,8,12,0.0398,2,1.20
150030001203,Block Group 3; Census Tract 1.20; Honolulu County; Hawaii,365,89,324,60.4,0.8877,41,66,0.1123,3,1.20
150030001211,Block Group 1; Census Tract 1.21; Honolulu County; Hawaii,705,102,591,111.9,0.8383,114,62,0.1617,1,1.21
150030001212,Block Group 2; Census Tract 1.21; Honolulu County; Hawaii,332,81,292,79.6,0.8795,40,48,0.1205,2,1.21
150030001221,Block Group 1; Census Tract 1.22; Honolulu County; Hawaii,443,161,400,160.5,0.9029,43,40,0.0971,1,1.22
