tmk,year_tce,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,point_count,percenthazard_ce05,landvalue_ce05,percenthazard_ce11,landvalue_ce11,percenthazard_ce20,landvalue_ce20,percenthazard_ce32,landvalue_ce32,public_costce,public_costce_discounted,discount_countywide,capped_discounted
31033065,2100,0,0,2360.81916,274.2175303,42.82677746,36.75594718,30.45408288,18.35366569,4.016113304,47.79938102,46.98874927,45.70305617,42.49815807,509.175722115,0,0,0,0,0,0,0,0,806900,2190300,2997200,RESIDENTIAL A,1,1,0,2190300,0,2190300,0,2190300,0,2190300,2997200,317019.98882917676,317019.98882917676,317019.98882917676
31033066,2030,0,0,4045.04443,289.9972043,6.903976239,0.09804878,0,0,0,10.81168779,10.7417403,9.741492998,9.741498734,836.41164561,175.286040327,359.355115718,573.978324851,655.795644597,95.0219560739,103.878297161,116.426389386,125.466359634,1038200,4916900,5955100,RESIDENTIAL A,2,1,0.20956910541239873,3886470.1839,0.42963906301892785,2804408.0009,0.6862390401467858,1542731.4608999998,0.7840584812980745,1061765.2197999998,4924670.1839000005,4124333.748375647,4124333.748375647,779700
31036002,2030,0,0,4865.299191,288.6441927,10.96565892,5.828235006,1.528720028,0,0,12.24683681,11.75142673,11.33662882,10.84125807,1678.63598392,126.689459349,232.651706283,411.857387362,644.827741177,145.232883823,154.236726089,161.239714279,177.2815856,5222600,6243800,11466400,RESIDENTIAL A,1,2,0.07547166899946411,5772567.9264,0.13859568632605201,5378434.2952000005,0.24535241190303722,4711871.1824,0.3841379235009483,3845319.1556,10995167.9264,9208280.03795306,9208280.03795306,779700
31036004,2030,0,0,3241.424938,309.0259162,6.71614425,1.604860792,0,0,0,9.427891311,8.632028814,8.111312395,7.650150613,2729.85223336,190.574371247,351.104571201,621.296277254,972.360997238,209.741825635,222.747378334,238.587758258,258.50169528,1429900,4303200,5733100,RESIDENTIAL,4,3,0.06981124066647161,4002789.3048,0.12861669467319406,3749735.3256,0.22759337287985226,3323821.8024000004,0.3561954692474996,2770421.676,5432689.3048,4549791.764223667,4549791.764223667,779700
31036005,2075,0,0,543.0462646,94.24726939,17.40008876,12.72060134,8.988593121,2.406594499,0,19.08954221,18.95547887,18.30549218,17.68827199,1358.06113854,85.4992496356,154.29748685,273.331650795,430.805419867,101.803283764,110.752303097,120.143856159,132.022350906,3556100,5741300,9297400,RESIDENTIAL A,1,2,0.06295684870823783,5379844.9759,0.11361600922906857,5088996.4592,0.20126608665707676,4585771.5142,0.31722093184268757,3920039.0727000004,8141871.5142,1803124.7913859615,1803124.7913859615,779700
31036008,2050,0,0,582.2241631,97.11206155,9.90900881,6.900437551,5.222261517,1.405611562,0,16.72055534,15.77685621,14.03409638,12.30380603,4504.8265145,238.79202996,392.487421921,695.377727265,1123.73892721,0.483547575835,21.3410558504,108.718659966,218.797785845,1359500,8628200,9987700,RESIDENTIAL,1,4,0.053008041306670396,8170836.3744,0.08712597935962092,7876459.4468,0.1543628206384284,7296325.1634,0.24945220944534557,6475878.2536,9235959.446800001,4282665.6983170025,4282665.6983170025,779700
31036009,2024,0,0,3836.641441,320.1324054,0,0,0,0,0,5.487386936,4.487233361,2.766883078,1.918663929,2410.79490566,183.30872223,337.352260366,573.865710381,857.36798701,0,1.00524116825,32.5370706371,72.8125177107,936900,5457500,6394400,RESIDENTIAL A,1,2,0.07603663082232033,5042528.0725,0.13993403568838367,4693810.195,0.23804003776252114,4158396.6999999997,0.3556370494217879,3516611.0725000002,5979428.0725,5979428.0725,5979428.0725,779700
31036021,2075,0,0,531.3582039,92.91676122,18.13965872,13.92290408,10.70290329,4.761690509,0,19.7158337,19.67745093,18.97696181,18.30441342,1669.469721,91.6224678449,162.140735515,289.747509897,461.791184638,140.436347892,144.438058079,151.883997936,161.373802454,2709600,6242500,8952100,RESIDENTIAL A,1,3,0.054881179749710476,5899905.3575,0.09712109987707887,5636222.1575,0.1735566127688997,5159070.4275,0.2766094999083844,4515768.3175,7868670.4275,1742620.8087815691,1742620.8087815691,779700
31037002,2024,0,0,1692.287418,189.1674509,4.751138641,0.432448367,0,0,0,10.62737666,9.627128811,8.184870395,6.362460231,485.011996831,113.71161928,196.322864978,349.007832389,419.24248483,0,0.0320321382576,7.07271724225,25.5424210773,687600,4974300,5661900,RESIDENTIAL,1,1,0.2344511476478431,3808070.3907000003,0.4047793998102025,2960807.8203,0.719585978634277,1394863.3602000002,0.8643961130225053,674534.9771999997,4495670.3907,4495670.3907,4495670.3907,779700
31037004,2024,0,0,6496.352314,499.8651811,1.606843772,0,0,0,0,4.233853546,4.220376863,3.23366364,3.23366347,1576.67775852,187.875371847,359.325633243,675.127271842,1085.1953263,90.083307679,97.6335910543,110.099567482,124.173976292,1280900,5574400,6855300,RESIDENTIAL,1,1,0.11915901701014375,4910160.0704,0.2279004896855352,4303994.24,0.4281961029727027,3187464.2176,0.6882797200860207,1737651.9679999999,6191060.0704,6191060.0704,6191060.0704,779700
