tmk,year_tce,total_value,public_costce_discounted
31033065,2100,2997200,317019.98882917676
31033066,2030,5955100,4124333.748375647
31036002,2030,11466400,9208280.03795306
31036004,2030,5733100,4549791.764223667
31036005,2075,9297400,1803124.7913859615
31036008,2050,9987700,4282665.6983170025
31036009,2024,6394400,5979428.0725
31036021,2075,8952100,1742620.8087815691
31037002,2024,5661900,4495670.3907
31037004,2024,6855300,6191060.0704
31037005,2024,10703900,10191468.4794
31037006,2050,9724300,4070032.527766209
31037009,2100,12069200,850490.0718393626
31037010,2050,8638300,3704293.700956291
31037011,2100,9000600,705935.2958310714
31037012,2024,7862800,6394537.677999999
31037013,2050,10636900,4515256.009030482
31038001,2030,5841300,4709798.026056068
31038002,2075,10237800,2007482.1919391423
31038006,2030,8126100,6498053.100986231
31038008,2075,6129200,1025965.4920607862
31038009,2075,6488200,1254485.4722626877
31038010,2030,11123900,8866179.905414954
31038011,2050,6255600,2512423.0833833
31038023,2075,8532800,1461288.7844641476
31038024,2050,6405500,2970196.576607337
31039042,2050,4701200,2161319.195782769
31039043,2030,4942600,4132972.916718596
31039044,2030,5041500,4222176.880070643
31039053,2030,6207400,5198599.774938116
31039061,2075,100,18.69764942822655
31040003,2075,6330500,1075829.1102785615
31040004,2100,6076300,616059.9456738825
31040005,2100,4908800,408599.8953243125
35002001,2050,8848200,3749342.9681781917
35002002,2030,13195100,10656226.203816833
35002003,2030,10178000,8164440.731648666
35002004,2075,11971500,2403778.133965123
35002005,2075,10601400,2069860.3735557941
35002006,2050,6108700,2587317.7842618544
35002050,2024,10234700,9852530.133499999
35003002,2030,6273600,5022894.942737825
35003006,2024,11262800,10713549.32
35003007,2030,8497900,6701410.910360121
35003011,2075,8549400,1579328.395609869
35003012,2030,10136600,7993557.272529549
35003034,2030,6393600,5017010.601473691
35003035,2075,11021000,2050305.2127207455
35004001,2075,13856500,2318174.4555629226
35004003,2050,6730500,2667512.370367626
35004004,2100,22101700,1061990.257038966
35004006,2050,11888800,4110327.327948244
35004007,2030,12194200,9260612.462405194
35004008,2030,13574900,10404347.823218036
35004009,2100,13513900,922034.3340371546
35004011,2050,15385300,6314771.979954307
35005001,2075,12584500,2072624.3726427506
35005002,2075,14730900,2525054.9714249508
35005005,2050,12532500,5061714.622276276
35005006,2050,12846400,5486095.025820405
35005009,2075,11849400,2148518.6843554447
35005010,2100,16336600,1407488.2067622957
35005013,2050,10928600,4329361.694222936
35005014,2050,16672000,7332580.223887288
35005015,2075,9298600,1674904.324964604
35022001,2030,2241700,1629836.8824859378
35022003,2024,2457200,2061533.7856
35022005,2030,4259300,3346123.458423382
35022006,2050,2797900,1187160.2243460126
35022007,2050,3526400,1550363.2390239325
35058011,2075,8673900,1747218.1835090062
36002003,2030,1121200,884812.6460383559
36002005,2075,3334700,596584.3962170624
36002035,2024,5930100,5749102.27
36002040,2024,3961000,3741238.7496
36002041,2075,7966100,1678251.8250400012
36002042,2024,3600900,3359573.7222
36003005,2024,8642200,8571513.692200001
36003012,2100,4694600,441844.7458329128
36003013,2030,3274500,2633471.047407871
36003014,2030,2913200,2243537.1026774263
36003015,2050,2656900,1043964.9126299868
36003016,2030,2924000,2276887.790344759
36003042,2075,8051300,1720248.684410952
37001001,2075,5816600,1161675.2553891267
37001008,2024,4931000,4799290.142
37001009,2024,2349300,2229894.9114
37001010,2024,2310400,2174961.0179999997
37001011,2075,2793600,540040.8229720624
37001012,2030,2856300,2253494.157016303
37001014,2100,2891500,254583.9726010764
37001015,2100,2727800,246571.17382352788
37001016,2024,3404900,3305600.8
37001022,2075,4050300,798054.2196762265
37001025,2100,3095900,281818.99402254785
37002002,2030,2347700,1815090.5662173918
37002003,2030,2183900,1599363.4469372828
37002004,2050,2207900,769968.0372865289
37002005,2030,2392100,1764688.09425285
37002016,2030,2854200,2259518.605544153
37002020,2075,3279700,644702.3916765372
37002075,2030,3602100,2810924.390629052
37002078,2030,1853100,1379916.6878952375
38001002,2024,2822300,2505719.6972000003
38001003,2100,3446800,339912.86401088774
38001023,2024,3665900,3511350.4672
38001024,2100,3864100,373337.10441373877
38001047,2030,3045400,2402605.7049087747
38001066,2024,2786100,2545735.677
